[12-Dec-2020 10:25:41 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:25:41 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:26:40 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:26:40 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
[12-Dec-2020 10:26:40 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:26:40 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:27:05 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:27:05 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
[12-Dec-2020 10:27:05 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:27:05 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:27:26 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:27:26 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
